ligne; station1; station2; temps les séparants (min)
M1;LA DEFENSE GRANDE-ARCHE;ESPLANADE DE LA DEFENSE;2.0
M1;ESPLANADE DE LA DEFENSE;PONT DE NEUILLY;2.0
M1;PONT DE NEUILLY;LES SABLONS;1.0
M1;LES SABLONS;PORTE MAILLOT;2.0
M1;PORTE MAILLOT;ARGENTINE;1.0
M1;ARGENTINE;CHARLES DE GAULLE - ETOILE;1.0
M1;CHARLES DE GAULLE - ETOILE;GEORGES V;2.0
M1;GEORGES V;FRANKLIN D. ROOSEVELT;1.0
M1;FRANKLIN D. ROOSEVELT;CHAMPS-ELYSEES - CLEMENCEAU;2.0
M1;CHAMPS-ELYSEES - CLEMENCEAU;TUILERIES;2.0
M1;TUILERIES;PALAIS ROYAL-MUSEE DU LOUVRE;1.0
M1;;PALAIS ROYAL-MUSEE DU LOUVRE;LOUVRE-RIVOLI;2.0
M1;LOUVRE-RIVOLI;CHATELET;1.0
M1;CHATELET;HOTEL DE VILLE;2.0
M1;HOTEL DE VILLE;SAINT-PAUL;1.0
M1;SAINT-PAUL;BASTILLE;2.0
M1;BASTILLE;GARE DE LYON;2.0
M1;GARE DE LYON;REUILLY-DIDEROT;1.0
M1;REUILLY-DIDEROT;NATION;1.0
M1;NATION;PORTE DE VINCENNES;1.0
M1;PORTE DE VINCENNES;SAINT MANDE;2.0
M1;SAINT MANDE;BERAULT;2.0
M1;BERAULT;CHATEAU DE VINCENNES;1.0

M2;PORTE DAUPHINE;VICTOR HUGO;1.0
M2;VICTOR HUGO;CHARLES DE GAULLE - ETOILE;2.0
M2;CHARLES DE GAULLE - ETOILE;TERNES;2.0
M2;TERNES;COURCELLES;1.0
M2;COURCELLES;MONCEAU;1.0
M2;MONCEAU;VILLIERS;1.0
M2;VILLIERS;ROME;2.0
M2;ROME;PLACE DE CLICHY;2.0
M2;PLACE DE CLICHY;BLANCHE;1.0
M2;BLANCHE;PIGALLE;1.0
M2;PIGALLE;ANVERS;1.0
M2;ANVERS;BARBES;2.0
M2;BARBES;LA CHAPELLE;2.0
M2;LA CHAPELLE;STALINGRAD;1.0
M2;STALINGRAD;JAURES;2.0
M2;JAURES;COLONEL FABIEN;2.0
M2;COLONEL FABIEN;BELLEVILLE;2.0
M2;BELLEVILLE;COURONNES;1.0
M2;COURONNES;MENILMONTANT;1.0
M2;MENILMONTANT;PERE LACHAISE;2.0
M2;PERE LACHAISE;PHILIPPE AUGUSTE;1.0
M2;PHILIPPE AUGUSTE;ALEXANDRE DUMAS;1.0
M2;ALEXANDRE DUMAS;AVRON;2.0
M2;AVRON;NATION;1.0

M3;PONT DE LEVALLOIS-BECON;ANATOLE FRANCE;2.0
M3;ANATOLE FRANCE;LOUISE MICHEL;1.0
M3;LOUISE MICHEL;PORTE DE CHAMPERRET;1.0
M3;PORTE DE CHAMPERRET;PEREIRE; 2.0
M3;PEREIRE;WAGRAM;1.0
M3;WAGRAM;MALESHERBES;1.0
M3;MALESHERBES;VILLIERS;2.0
M3;VILLIERS;EUROPE;1.0
M3;EUROPE;SAINT-LAZARE;2.0
M3;SAINT-LAZARE;HAVRE-CAUMARTIN;1.0
M3;HAVRE-CAUMARTIN;OPERA;1.0
M3;OPERA;QUATRE-SEPTEMBRE;1.0
M3;QUATRE-SEPTEMBRE;BOURSE;1.0
M3;BOURSE;SENTIER;1.0
M3;SENTIER;REAUMUR-SEBASTOPOL;1.0
M3;REAUMUR-SEBASTOPOL;ARTS ET METIERS;1.0
M3;ARTS ET METIERS;TEMPLE;2.0
M3;TEMPLE;REPUBLIQUE;1.0
M3;REPUBLIQUE;PARMENTIER;2.0
M3;PARMENTIER;RUE SAINT-MAUR;1.0
M3;RUE SAINT-MAUR;PERE LACHAISE;1.0
M3;PERE LACHAISE;GAMBETTEA;1.0
M3;GAMBETTEA;PORTE DE BAGNOLET;2.0
M3;PORTE DE BAGNOLET;GALLIENI;1.0

M4;PORTE DE CLIGNANCOURT;SIMPLON;1.0
M4;SIMPION;MARCADET-POISSONHIERS;1.0
M4;MARCADET-POISSONHIERS;CHATEAU-ROUGE;1.0
M4;CHATEAU-ROUGE;BARBES-ROCHECHOUART;1.0
M4;BARBES-ROCHECHOUART;GARE DU NORD;2.0
M4;GARE DU NORD;GARE DE L'EST;1.0
M4;GARE DE L'EST;CHATEAU D'EAU;1.0
M4;CHATEAU D'EAU;STRASBOURG-SAINT-DENIS;1.0
M4;STRASBOURG-SAINT-DENIS;REAUMUR-SEBASTOPOL;1.0
M4;REAUMUR-SEBASTOPOL;ETIENNE-MARCEL;1.0
M4;ETIENNE-MARCEL;LES HALLES;1.0
M4;LES HALLES;CHATELET;1.0
M4;CHATELET;CITE;1.0
M4;CITE;SAINT-MICHEL;1.0
M4;SAINT-MICHEL;ODEON;1.0
M4;ODEON;ST-GERMAIN DES PRES;1.0
M4;ST-GERMAIN DES PRES;SAINT-SULPICE;1.0
M4;SAINT-SULPICE;SAINT-PLACIDE;1.0
M4;SAINT-PLACIDE;MONTPARNASSE BIENVENUE;1.0
M4;MONTPARNASSE BIENVENUE;VAVIN;1.0
M4;VAVIN;RASPAIL;1.0
M4;RASPAIL;DENFERT-ROCHEREAU;1.0
M4;DENFERT-ROCHEREAU;MOUTON-DUVERNET;2.0
M4;MOUTON-DUVERNET;ALESIA;1.0
M4;ALESIA;PORTE-D'ORLEANS;1.0
M4;PORTE D'ORLEANS;MAIRIE DU MONT ROUGE;2.0

M5;BOBIGNY-PABLO PICASSO;BOBIGNY-PANTIN;3.0
M5;BOBIGNY-PATIN;EGLISE DE PANTIN;2.0
M5;EGLISE DE PANTIN;HOCHE;1.0
M5;HOCHE;PORTE DE PANTIN;2.0
M5;PORTE DE PANTIN;OURCQ;1.0
M5;OURCQ;LAUMIERE;1.0
M5;LAUMIERE;JAURES;2.0
M5;JAURES;STALINGRAD;1.0
M5;STALINGRAD;GARD DU NORD;2.0
M5;GARE DU NORD;GARE DE L'EST;1.0
M5;GARE DE L'EST;JACQUES BONSERGENT;2.0
M5;JACQUES BONSERGENT;OBERKAMPF;3.0
M5;OBERKAMPF;RICHARD-LENOIR;1.0
M5;RICHARD-LENOIR;BREGUET-SABIN;1.0
M5;BERGUET-SABIN;BASTILLE;1.0
M5;BASTILLE;QUAI DE LA RAPEE;2.0
M5;QUAI DE LA RAPEE;GARE D'AUSTERLITZ;1.0
M5;GARE D'AUSTERLITZ;SAINT-MARCEL;2.0
M5;SAINT-MARCEL;CAMPO-FORMIO;1.0
M5;CAMPO-FORMIO;PLACE D'ITALIE;3.0
